id,label,full_name,is_private
953293389,iss,International Space Station,False
555771544,astro_andreas,Andreas Mogensen,False
15230646745,nasa_es,NASA en EspaÃ±ol,False
182988865,nasaames,NASA Ames,False
7014934862,nasawallops,NASA's Wallops Flight Facility,False
5667074962,astro_farmerbob,Bob â€œFarmerâ€ Hines,False
25420866,zenanaut,Zena Cardman,False
5608777128,astrojaws,Jasmin Moghbeli,False
1914013868,matthew.dominick,Matthew Dominick,False
8518528060,astrohague,NASA Astronaut Nick Hague,False
3139051678,astro_kimbrough,Shane Kimbrough,False
47617339510,astro_illini,Mike Hopkins,False
10838378466,astrovicglover,Victor Glover,False
4608587081,esamatthiasmaurer,Matthias Maurer,False
13062980511,astromarshburn,Tom Marshburn,False
549403870,nasakennedy,NASA's Kennedy Space Center,False
39449659404,astro.megan,Megan McArthur,False
757149008,nasa_marshall,Marshall Space Flight Center,False
14191313041,astro_watkins,Jessica Watkins,False
19511341806,jonnykimusa,Jonny Kim,False
8783763777,astro.doug,NASA Astronaut Doug Hurley,False
9729644846,whoburg,Woody Hoburg,False
4181026757,jeanette.epps,"Jeanette Epps, PhD",False
7059434337,astro_raja,NASA Astronaut Raja Chari,False
8470428372,astro_cassada,NASA Astronaut Josh Cassada,False
7203080199,astro_kayla,Kayla Barron,False
6942082963,astrodrewmorgan,NASA Astronaut Andrew Morgan,False
2211538156,astro_christina,Christina Hammock Koch,False
4092263381,astro_jessica,Jessica Meir,False
8328756214,nasaastronauts,NASA Astronauts,False
6112965158,astro_ricky,NASA Astronaut Ricky Arnold,False
4261771978,astro_feustel,NASA Astronaut Drew Feustel,False
3428506045,astro2fish,"Astronaut Jack ""2fish"" Fischer",False
2229408638,orbital_atk,Orbital ATK,False
2314514217,bigelowspace,Bigelow Aerospace,False
1467821596,ulalaunch,United Launch Alliance,False
1332348075,nasachandraxray,NASA Chandra X-ray Observatory,False
24627518,cnes_france,CNES,False
3517229058,canadianspaceagency,Canadian Space Agency,False
1381674809,issnationallab,ISS National Lab,False
20311520,spacex,SpaceX,False
555375076,thom_astro,Thomas Pesquet,False
4265844763,astrokomrade,NASA Astronaut Randy Bresnik,False
1387463011,europeanspaceagency,ESA - European Space Agency,False
2074163374,astro_kjell,Kjell Lindgren,False
1496020093,stationcdrkelly,SCOTT KELLY,False
673882723,nasajohnson,NASA Johnson Space Center,False
481149732,noaa,NOAA,False
582986390,nasajpl,NASA Jet Propulsion Laboratory,False
528817151,nasa,NASA,False
3808579,nasagoddard,NASA Goddard,False
1104426670,nasaartemis,NASA Artemis,False
4302013048,michelleobama,Michelle Obama,False
48617432880,highergroundmedia,Higher Ground,False
1974847033,mbk_alliance,My Brother's Keeper Alliance,False
45478896474,wafflesandmochiofficial,Waffles + Mochi,False
1300969526,reachhigher,Reach Higher,False
4909593877,valeriebjarrett,Valerie Jarrett,False
12773096000,craigmalrob,Craig Robinson,False
7961986329,whenweallvote,When We All Vote,False
8685311112,girlsopportunityalliance,Girls Opportunity Alliance,False
10206720,barackobama,Barack Obama,False
2220445743,bettermakeroom,Better Make Room 🎓,False
260014791,blackgirlsrock,BLACK GIRLS ROCK!,False
1682238760,obamafoundation,Obama Foundation,False
528817151,nasa,NASA,False
50101577629,astro_anil,Anil | Astronaut Space Doctor,False
51259971722,astro_berrios,Marcos BerrÃ­os,False
51290404867,astro_ayers,Nichole â€œVaporâ€ Ayers,False
13062980511,astromarshburn,Tom Marshburn,False
47617339510,astro_illini,Mike Hopkins,False
5435768227,astro_seal,Chris Cassidy,False
10838378466,astrovicglover,Victor Glover,False
39449659404,astro.megan,Megan McArthur,False
8783763777,astro.doug,NASA Astronaut Doug Hurley,False
8339147707,nasaflightdirectors,NASA Flight Directors,False
6942082963,astrodrewmorgan,NASA Astronaut Andrew Morgan,False
9729644846,whoburg,Woody Hoburg,False
14191313041,astro_watkins,Jessica Watkins,False
19511341806,jonnykimusa,Jonny Kim,False
15230646745,nasa_es,NASA en EspaÃ±ol,False
7014934862,nasawallops,NASA's Wallops Flight Facility,False
